Station,Complex,Stop_ID,Division,Line,Stop_Name,Borough,Daytime_Routes,Structure,Latitude,Longitude,North_Label,South_Label,CBD
WESTCHESTER SQ-6,363,604,IRT,Pelham,Westchester Sq-E Tremont Av,Bx,6,Elevated,40.839892,-73.842952,Pelham Bay Park,Manhattan,"N"
WHITEHALL S-FRY-R1W,635,R27,BMT,Broadway,Whitehall St-South Ferry,M,R W,Subway,40.703087,-74.012994,Uptown & Queens,Brooklyn,"Y"
WHITLOCK AV-6,370,612,IRT,Pelham,Whitlock Av,Bx,6,Elevated,40.826525,-73.886283,Pelham Bay Park,Manhattan,"N"
WILSON AV-L,130,L20,BMT,Canarsie,Wilson Av,Bk,L,Subway,40.688764,-73.904046,Manhattan,Canarsie - Rockaway Parkway,"N"
WINTHROP ST-25,355,243,IRT,Nostrand,Winthrop St,Bk,2 5,Subway,40.656652,-73.9502,Manhattan,Flatbush,"N"
WOODHAVEN BLVD-JZ,83,J15,BMT,Jamaica,Woodhaven Blvd,Q,J Z,Elevated,40.693879,-73.851576,Jamaica,Manhattan,"N"
WOODHAVEN BLVD-MR,264,G11,IND,Queens Blvd,Woodhaven Blvd,Q,M R,Subway,40.733106,-73.869229,Forest Hills,Manhattan,"N"
WOODLAWN-4,378,401,IRT,Jerome Av,Woodlawn,Bx,4,Elevated,40.886037,-73.878751,,Manhattan,"N"
WORLD TRADE CTR-ACE23,624,E01,IND,8th Av - Fulton St,World Trade Center,M,E,Subway,40.712582,-74.009781,Uptown & Queens,,"Y"
WTC-CORTLANDT-1,328,138,IRT,Broadway - 7Av,WTC Cortlandt,M,1,Subway,40.711835,-74.012188,Uptown & The Bronx,Downtown,"Y"
YORK ST-F,235,F18,IND,6th Av - Culver,York St,Bk,F,Subway,40.701397,-73.986751,Manhattan,Coney Island,"N"
ZEREGA AV-6,364,606,IRT,Pelham,Zerega Av,Bx,6,Elevated,40.836488,-73.847036,Pelham Bay Park,Manhattan,"N"
