Station,Complex,Stop_ID,Division,Line,Stop_Name,Borough,Daytime_Routes,Structure,Latitude,Longitude,North_Label,South_Label,CBD
66 ST-LINCOLN-1,314,124,IRT,Broadway - 7Av,66 St-Lincoln Center,M,1,Subway,40.77344,-73.982209,Uptown & The Bronx,Downtown,"N"
67 AV-MR,262,G09,IND,Queens Blvd,67 Av,Q,M R,Subway,40.726523,-73.852719,Forest Hills,Manhattan,"N"
68ST-HUNTER CO-6,399,628,IRT,Lexington Av,68 St-Hunter College,M,6,Subway,40.768141,-73.96387,Uptown & The Bronx,Downtown,"N"
69 ST-7,455,711,IRT,Flushing,69 St,Q,7,Elevated,40.746325,-73.896403,Flushing,Manhattan,"N"
7 AV-BDE,277,D14,IND,Queens Blvd,7 Av,M,B D E,Subway,40.762862,-73.981637,Uptown & The Bronx - Queens,Downtown & Brooklyn,"Y"
7 AV-BQ,41,D25,BMT,Broadway - Brighton,7 Av,Bk,B Q,Subway,40.67705,-73.972367,Manhattan,Brighton Beach & Coney Island,"N"
7 AV-FG,240,F24,IND,6th Av - Culver,7 Av,Bk,F G,Subway,40.666271,-73.980305,Manhattan - Queens,Church Av - Coney Island,"N"
71 ST-D,64,B17,BMT,West End,71 St,Bk,D,Elevated,40.619589,-73.998864,Manhattan,Coney Island,"N"
72 ST-123,313,123,IRT,Broadway - 7Av,72 St,M,1 2 3,Subway,40.778453,-73.98197,Uptown & The Bronx,Downtown & Brooklyn,"N"
72 ST-2 AVE-Q,477,Q03,IND,Second Av,72 St,M,Q,Subway,40.768799,-73.958424,Uptown,Downtown & Brooklyn,"N"
72 ST-BC,160,A22,IND,8th Av - Fulton St,72 St,M,B C,Subway,40.775594,-73.97641,Uptown & The Bronx,Downtown & Brooklyn,"N"
75 AV-EF,260,F07,IND,Queens Blvd,75 Av,Q,E F,Subway,40.718331,-73.837324,Jamaica,Manhattan,"N"
75 ST-ELDERTS-JZ,85,J17,BMT,Jamaica,75 St-Elderts Ln,Q,J Z,Elevated,40.691324,-73.867139,Jamaica,Manhattan,"N"
77 ST-6,398,627,IRT,Lexington Av,77 St,M,6,Subway,40.77362,-73.959874,Uptown & The Bronx,Downtown,"N"
77 ST-R,37,R43,BMT,4th Av,77 St,Bk,R,Subway,40.629742,-74.02551,Manhattan,95 St,"N"
79 ST-1,312,122,IRT,Broadway - 7Av,79 St,M,1,Subway,40.783934,-73.979917,Uptown & The Bronx,Downtown,"N"
79 ST-D,65,B18,BMT,West End,79 St,Bk,D,Elevated,40.613501,-74.00061,Manhattan,Coney Island,"N"
8 AV-N,71,N02,BMT,Sea Beach,8 Av,Bk,N,Open Cut,40.635064,-74.011719,Manhattan,Coney Island,"N"
8 ST-NYU-NRW,16,R21,BMT,Broadway - Brighton,8 St-NYU,M,R W,Subway,40.730328,-73.992629,Uptown & Queens,Downtown & Brooklyn,"Y"
80 ST-A,190,A59,IND,Liberty Av,80 St,Q,A,Elevated,40.679371,-73.858992,Manhattan,Lefferts - Rockaways,"N"
81 ST-MUSEUM-BC,159,A21,IND,8th Av - Fulton St,81 St-Museum of Natural History,M,B C,Subway,40.781433,-73.972143,Uptown & The Bronx,Downtown & Brooklyn,"N"
82 ST-JACKSON H-7,453,709,IRT,Flushing,82 St-Jackson Hts,Q,7,Elevated,40.747659,-73.883697,Flushing,Manhattan,"N"
85 ST-FOREST PK-J,84,J16,BMT,Jamaica,85 St-Forest Pkwy,Q,J,Elevated,40.692435,-73.86001,Jamaica,Manhattan,"N"
86 ST-1,311,121,IRT,Broadway - 7Av,86 St,M,1,Subway,40.788644,-73.976218,Uptown & The Bronx,Downtown,"N"
86 ST-2 AVE-Q,476,Q04,IND,Second Av,86 St,M,Q,Subway,40.777891,-73.951787,Uptown,Downtown & Brooklyn,"N"
86 ST-456,397,626,IRT,Lexington Av,86 St,M,4 5 6,Subway,40.779492,-73.955589,Uptown & The Bronx,Downtown & Brooklyn,"N"
86 ST-BC,158,A20,IND,8th Av - Fulton St,86 St,M,B C,Subway,40.785868,-73.968916,Uptown & The Bronx,Downtown & Brooklyn,"N"
86 ST-N,79,N10,BMT,Sea Beach,86 St,Bk,N,Open Cut,40.592721,-73.97823,Manhattan,Coney Island,"N"
86 ST-R,38,R44,BMT,4th Av,86 St,Bk,R,Subway,40.622687,-74.028398,Manhattan,95 St,"N"
88 ST-A,191,A60,IND,Liberty Av,88 St,Q,A,Elevated,40.679843,-73.85147,Manhattan,Lefferts - Rockaways,"N"
9 AV-D,59,B12,BMT,West End,9 Av,Bk,D,Open Cut,40.646292,-73.994324,Manhattan,Coney Island,"N"
90 ST-ELMHURST-7,452,708,IRT,Flushing,90 St-Elmhurst Av,Q,7,Elevated,40.748408,-73.876613,Flushing,Manhattan,"N"
96 ST-123,310,120,IRT,Broadway - 7Av,96 St,M,1 2 3,Subway,40.793919,-73.972323,Uptown & The Bronx,Downtown & Brooklyn,"N"
96 ST-2 AVE-Q,475,Q05,IND,Second Av,96 St,M,Q,Subway,40.784318,-73.947152,,Downtown & Brooklyn,"N"
96 ST-6,396,625,IRT,Lexington Av,96 St,M,6,Subway,40.785672,-73.95107,Uptown & The Bronx,Downtown,"N"
96 ST-BC,157,A19,IND,8th Av - Fulton St,96 St,M,B C,Subway,40.791642,-73.964696,Uptown & The Bronx,Downtown & Brooklyn,"N"
9TH STREET-1-PATH,913,,,,PATH-9th St,M,,,,,,,"Y"
ALABAMA AV-J,91,J24,BMT,Jamaica,Alabama Av,Bk,J,Elevated,40.676992,-73.898654,Jamaica,Manhattan,"N"
ALLERTON AV-25,423,210,IRT,Lenox - White Plains Rd,Allerton Av,Bx,2 5,Elevated,40.865462,-73.867352,Wakefield - 241 St,Manhattan,"N"
ANNADALE-1-SIR,515,S17,SIR,Staten Island,Annadale,SI,SIR,Open Cut,40.54046,-74.178217,St George,Tottenville,"N"
AQUEDUCT N.COND-A,197,H02,IND,Rockaway,Aqueduct-N Conduit Av,Q,A,At Grade,40.668234,-73.834058,Manhattan,Rockaways,"N"
AQUEDUCT RACETR-A,196,H01,IND,Rockaway,Aqueduct Racetrack,Q,A,At Grade,40.672097,-73.835919,Manhattan,Rockaways,"N"
ARTHUR KILL-1-SIR,523,S11,SIR,Staten Island,Arthur Kill,SI,SIR,At Grade,40.516578,-74.242096,St George,Tottenville,"N"
ASTOR PL-6,407,636,IRT,Lexington Av,Astor Pl,M,6,Subway,40.730054,-73.99107,Uptown & The Bronx,Downtown,"Y"
ASTORIA BLVD-NQW,2,R03,BMT,Astoria,Astoria Blvd,Q,N W,Elevated,40.770258,-73.917843,Ditmars Blvd,Manhattan,"N"
ASTORIA DITMARS-NQW,1,R01,BMT,Astoria,Astoria-Ditmars Blvd,Q,N W,Elevated,40.775036,-73.912034,,Manhattan,"N"
ATL AV-BARCLAY-2345BDNQR,617,R31,BMT,4th Av,Atlantic Av-Barclays Ctr,Bk,2 3 4 5 B D N Q R,Subway,40.683666,-73.97881,Manhattan,Coney Island - Bay Ridge,"N"
ATLANTIC AV-L,133,L24,BMT,Canarsie,Atlantic Av,Bk,L,Elevated,40.675345,-73.903097,Manhattan,Canarsie - Rockaway Parkway,"N"
AVENUE H-BQ,48,D32,BMT,Broadway - Brighton,Avenue H,Bk,Q,Open Cut,40.62927,-73.961639,Manhattan,Brighton Beach & Coney Island,"N"
AVENUE I-F,246,F31,IND,6th Av - Culver,Avenue I,Bk,F,Elevated,40.625322,-73.976127,Manhattan,Coney Island,"N"
AVENUE J-BQ,49,D33,BMT,Broadway - Brighton,Avenue J,Bk,Q,Open Cut,40.625039,-73.960803,Manhattan,Brighton Beach & Coney Island,"N"
AVENUE M-BQ,50,D34,BMT,Broadway - Brighton,Avenue M,Bk,Q,Open Cut,40.617618,-73.959399,Manhattan,Brighton Beach & Coney Island,"N"
AVENUE N-F,248,F33,IND,6th Av - Culver,Avenue N,Bk,F,Elevated,40.61514,-73.974197,Manhattan,Coney Island,"N"
AVENUE P-F,249,F34,IND,6th Av - Culver,Avenue P,Bk,F,Elevated,40.608944,-73.973022,Manhattan,Coney Island,"N"
AVENUE U-BQ,52,D37,BMT,Broadway - Brighton,Avenue U,Bk,Q,Open Cut,40.5993,-73.955929,Manhattan,Brighton Beach & Coney Island,"N"
AVENUE U-F,251,F36,IND,6th Av - Culver,Avenue U,Bk,F,Elevated,40.596063,-73.973357,Manhattan,Coney Island,"N"
AVENUE U-N,78,N09,BMT,Sea Beach,Avenue U,Bk,N,Open Cut,40.597473,-73.979137,Manhattan,Coney Island,"N"
AVENUE X-F,252,F38,IND,6th Av - Culver,Avenue X,Bk,F,Elevated,40.58962,-73.97425,Manhattan,Coney Island,"N"
B'WAY-LAFAYETTE-BDFQ6,619,D21,IND,6th Av - Culver,Broadway-Lafayette St,M,B D F M,Subway,40.725297,-73.996204,Uptown & The Bronx - Queens,Downtown & Brooklyn,"Y"
BAY 50 ST-D,70,B23,BMT,West End,Bay 50 St,Bk,D,Elevated,40.588841,-73.983765,Manhattan,Coney Island,"N"
BAY PKWY-D,68,B21,BMT,West End,Bay Pkwy,Bk,D,Elevated,40.601875,-73.993728,Manhattan,Coney Island,"N"
BAY PKWY-F,247,F32,IND,6th Av - Culver,Bay Pkwy,Bk,F,Elevated,40.620769,-73.975264,Manhattan,Coney Island,"N"
BAY PKWY-N,76,N07,BMT,Sea Beach,Bay Pkwy,Bk,N,Open Cut,40.611815,-73.981848,Manhattan,Coney Island,"N"
BAY RIDGE AV-R,36,R42,BMT,4th Av,Bay Ridge Av,Bk,R,Subway,40.634967,-74.023377,Manhattan,95 St,"N"
BAY RIDGE-95 ST-R,39,R45,BMT,4th Av,Bay Ridge-95 St,Bk,R,Subway,40.616622,-74.030876,Manhattan,,"N"
BAY TERRACE-1-SIR,512,S20,SIR,Staten Island,Bay Terrace,SI,SIR,Embankment,40.5564,-74.136907,St George,Tottenville,"N"
BAYCHESTER AV-5,443,502,IRT,Dyre Av,Baychester Av,Bx,5,Open Cut,40.878663,-73.838591,Eastchester - Dyre Av,Manhattan,"N"
BEACH 105 ST-AS,202,H14,IND,Rockaway,Beach 105 St,Q,A S,Viaduct,40.583209,-73.827559,Manhattan,Rockaway Park,"N"
BEACH 25 ST-A,208,H10,IND,Rockaway,Beach 25 St,Q,A,Viaduct,40.600066,-73.761353,Manhattan,Far Rockaway,"N"
BEACH 36 ST-A,207,H09,IND,Rockaway,Beach 36 St,Q,A,Viaduct,40.595398,-73.768175,Manhattan,Far Rockaway,"N"
BEACH 44 ST-A,206,H08,IND,Rockaway,Beach 44 St,Q,A,Viaduct,40.592943,-73.776013,Manhattan,Far Rockaway,"N"
BEACH 60 ST-A,205,H07,IND,Rockaway,Beach 60 St,Q,A,Viaduct,40.592374,-73.788522,Manhattan,Far Rockaway,"N"
BEACH 67 ST-A,204,H06,IND,Rockaway,Beach 67 St,Q,A,Viaduct,40.590927,-73.796924,Manhattan,Far Rockaway,"N"
BEACH 90 ST-AS,200,H12,IND,Rockaway,Beach 90 St,Q,A S,Viaduct,40.588034,-73.813641,Manhattan,Rockaway Park,"N"
BEACH 98 ST-AS,201,H13,IND,Rockaway,Beach 98 St,Q,A S,Viaduct,40.585307,-73.820558,Manhattan,Rockaway Park,"N"
BEDFORD AV-L,120,L08,BMT,Canarsie,Bedford Av,Bk,L,Subway,40.717304,-73.956872,Manhattan,Canarsie - Rockaway Parkway,"N"
BEDFORD PK BLVD-4,380,405,IRT,Jerome Av,Bedford Park Blvd-Lehman College,Bx,4,Elevated,40.873412,-73.890064,Woodlawn,Manhattan,"N"
BEDFORD PK BLVD-BD,211,D03,IND,Concourse,Bedford Park Blvd,Bx,B D,Subway,40.873244,-73.887138,Norwood - 205 St,Manhattan,"N"
BEDFORD-NOSTRAN-G,289,G33,IND,Crosstown,Bedford-Nostrand Avs,Bk,G,Subway,40.689627,-73.953522,Queens,Church Av,"N"
BERGEN ST-23,339,236,IRT,Eastern Pky,Bergen St,Bk,2 3,Subway,40.680829,-73.975098,Manhattan,Flatbush - New Lots,"N"
BERGEN ST-FG,236,F20,IND,6th Av - Culver,Bergen St,Bk,F G,Subway,40.686145,-73.990862,Manhattan - Queens,Church Av - Coney Island,"N"
BEVERLEY ROAD-BQ,45,D29,BMT,Broadway - Brighton,Beverley Rd,Bk,Q,Open Cut,40.644031,-73.964492,Manhattan,Brighton Beach & Coney Island,"N"
BEVERLY RD-25,357,245,IRT,Nostrand,Beverly Rd,Bk,2 5,Subway,40.645098,-73.948959,Manhattan,Flatbush,"N"
BLEECKER ST-6DF,619,637,IRT,Lexington Av,Bleecker St,M,6,Subway,40.725915,-73.994659,Uptown & The Bronx,Downtown,"Y"
BOROUGH HALL-2345R,620,423,IRT,Eastern Pky,Borough Hall,Bk,4 5,Subway,40.692404,-73.990151,Manhattan,Flatbush - Utica,"N"
BOWERY-JZ,103,M19,BMT,Jamaica,Bowery,M,J Z,Subway,40.72028,-73.993915,Brooklyn,Broad St,"Y"
BOWLING GREEN-45,414,420,IRT,Lexington Av,Bowling Green,M,4 5,Subway,40.704817,-74.014065,Uptown & The Bronx,Brooklyn,"Y"
BRIARWOOD-EF,258,F05,IND,Queens Blvd,Briarwood,Q,E F,Subway,40.709179,-73.820574,Jamaica,Manhattan,"N"
BRIGHTON BEACH-BQ,55,D40,BMT,Broadway - Brighton,Brighton Beach,Bk,B Q,Elevated,40.577621,-73.961376,Manhattan,Coney Island,"N"
BROAD CHANNEL-AS,199,H04,IND,Rockaway,Broad Channel,Q,A S,At Grade,40.608382,-73.815925,Manhattan,Rockaways,"N"
BROAD ST-JZ,107,M23,BMT,Jamaica,Broad St,M,J Z,Subway,40.706476,-74.011056,Brooklyn,,"Y"
BROADWAY JCT-ACJLZ,621,J27,BMT,Jamaica,Broadway Junction,Bk,J Z,Elevated,40.679498,-73.904512,Jamaica,Manhattan,"N"
BROADWAY-G,286,G30,IND,Crosstown,Broadway,Bk,G,Subway,40.706092,-73.950308,Queens,Church Av,"N"
BROADWAY-NQW,4,R05,BMT,Astoria,Broadway,Q,N W,Elevated,40.76182,-73.925508,Astoria - Ditmars Blvd,Manhattan,"N"
BRONX PARK EAST-25,425,212,IRT,Lenox - White Plains Rd,Bronx Park East,Bx,2 5,Elevated,40.848828,-73.868457,Wakefield - 241 St,Manhattan,"N"
BROOK AV-6,376,618,IRT,Pelham,Brook Av,Bx,6,Subway,40.807566,-73.91924,Pelham Bay Park,Manhattan,"N"
BROOKLYN BRIDGE-456JZ,622,640,IRT,Lexington Av,Brooklyn Bridge-City Hall,M,4 5 6,Subway,40.713065,-74.004131,Uptown & The Bronx,Downtown & Brooklyn,"Y"
BUHRE AV-6,361,602,IRT,Pelham,Buhre Av,Bx,6,Elevated,40.84681,-73.832569,Pelham Bay Park,Manhattan,"N"
BURKE AV-25,422,209,IRT,Lenox - White Plains Rd,Burke Av,Bx,2 5,Elevated,40.871356,-73.867164,Wakefield - 241 St,Manhattan,"N"
BURNSIDE AV-4,384,409,IRT,Jerome Av,Burnside Av,Bx,4,Elevated,40.853453,-73.907684,Woodlawn,Manhattan,"N"
BUSHWICK AV-L,131,L21,BMT,Canarsie,Bushwick Av-Aberdeen St,Bk,L,Subway,40.682829,-73.905249,Manhattan,Canarsie - Rockaway Parkway,"N"
CANAL ST-1,325,135,IRT,Broadway - 7Av,Canal St,M,1,Subway,40.722854,-74.006277,Uptown & The Bronx,Downtown,"Y"
CANAL ST-ACE,169,A34,IND,8th Av - Fulton St,Canal St,M,A C E,Subway,40.720824,-74.005229,Uptown - Queens,Downtown & Brooklyn,"Y"
CANAL ST-JNQRZ6W,623,R23,BMT,Broadway,Canal St,M,6 J N Q R W Z,Subway,40.719527,-74.001775,Uptown & Queens,Downtown & Brooklyn,"Y"
CANARSIE-ROCKAW-L,138,L29,BMT,Canarsie,Canarsie-Rockaway Pkwy,Bk,L,At Grade,40.646654,-73.90185,Manhattan,,"N"
CARROLL ST-FG,237,F21,IND,6th Av - Culver,Carroll St,Bk,F G,Subway,40.680303,-73.995048,Manhattan - Queens,Church Av - Coney Island,"N"
CASTLE HILL AV-6,365,607,IRT,Pelham,Castle Hill Av,Bx,6,Elevated,40.834255,-73.851222,Pelham Bay Park,Manhattan,"N"
CATHEDRAL PKWY-1,308,118,IRT,Broadway - 7Av,Cathedral Pkwy (110 St),M,1,Subway,40.803967,-73.966847,Uptown & The Bronx,Downtown,"N"
CATHEDRAL PKWY-BC,155,A17,IND,8th Av - Fulton St,Cathedral Pkwy (110 St),M,B C,Subway,40.800603,-73.958161,Uptown & The Bronx,Downtown & Brooklyn,"N"
CENTRAL AV-M,114,M10,BMT,Myrtle Av,Central Av,Bk,M,Elevated,40.697857,-73.927397,Manhattan,Metropolitan Av,"N"
CENTRAL PK N110-23,441,227,IRT,Lenox - White Plains Rd,Central Park North (110 St),M,2 3,Subway,40.799075,-73.951822,Uptown & The Bronx,Downtown & Brooklyn,"N"
CHAMBERS ST-123,327,137,IRT,Broadway - 7Av,Chambers St,M,1 2 3,Subway,40.715478,-74.009266,Uptown & The Bronx,Downtown & Brooklyn,"Y"
CHAMBERS ST-ACE23,624,A36,IND,8th Av - Fulton St,Chambers St,M,A C 2 3,Subway,40.714111,-74.008585,Uptown,Downtown & Brooklyn,"Y"
CHAMBERS ST-JZ456,622,M21,BMT,Jamaica,Chambers St,M,J Z,Subway,40.713243,-74.003401,Brooklyn,Broad St,"Y"
CHAUNCEY ST-JZ,93,J28,BMT,Jamaica,Chauncey St,Bk,J Z,Elevated,40.682893,-73.910456,Jamaica,Manhattan,"N"
CHRISTOPHER ST-1,323,133,IRT,Broadway - 7Av,Christopher St-Sheridan Sq,M,1,Subway,40.733422,-74.002906,Uptown & The Bronx,Downtown,"Y"
CHRISTOPHER ST-1-PATH,914,,,,PATH-Christopher St,M,,,,,,,"Y"
CHURCH AV-25,356,244,IRT,Nostrand,Church Av,Bk,2 5,Subway,40.650843,-73.949575,Manhattan,Flatbush,"N"
CHURCH AV-BQ,44,D28,BMT,Broadway - Brighton,Church Av,Bk,B Q,Open Cut,40.650527,-73.962982,Manhattan,Brighton Beach & Coney Island,"N"
CHURCH AV-FG,243,F27,IND,6th Av - Culver,Church Av,Bk,F G,Subway,40.644041,-73.979678,Manhattan,Coney Island,"N"
CITY / BUS-1-PATH,918,,,,,J,,,,,,,"N"
CITY HALL-NRW,20,R24,BMT,Broadway,City Hall,M,R W,Subway,40.713282,-74.006978,Uptown & Queens,Downtown & Brooklyn,"Y"
CLARK ST-23,334,231,IRT,Clark St,Clark St,Bk,2 3,Subway,40.697466,-73.993086,Manhattan,Flatbush - New Lots,"N"
CLASSON AV-G,290,G34,IND,Crosstown,Classon Av,Bk,G,Subway,40.688873,-73.96007,Queens,Church Av,"N"
CLEVELAND ST-J,89,J22,BMT,Jamaica,Cleveland St,Bk,J,Elevated,40.679947,-73.884639,Jamaica,Manhattan,"N"
CLINTON-WASH AV-C,177,A44,IND,8th Av - Fulton St,Clinton-Washington Avs,Bk,C,Subway,40.683263,-73.965838,Manhattan,Euclid Av,"N"
CLINTON-WASH AV-G,291,G35,IND,Crosstown,Clinton-Washington Avs,Bk,G,Subway,40.688089,-73.966839,Queens,Church Av,"N"
CONEY IS-STILLW-DFNQ,58,D43,BMT,Sea Beach / West End / Culver / Brighton,Coney Island-Stillwell Av,Bk,D F N Q,Viaduct,40.577422,-73.981233,Manhattan,,"N"
CORTELYOU RD-BQ,46,D30,BMT,Broadway - Brighton,Cortelyou Rd,Bk,Q,Open Cut,40.640927,-73.963891,Manhattan,Brighton Beach & Coney Island,"N"
CORTLANDT ST-RNW,624,R25,BMT,Broadway,Cortlandt St,M,R W,Subway,40.710668,-74.011029,Uptown & Queens,Downtown & Brooklyn,"Y"
COURT SQ-7,606,719,IRT,Flushing,Court Sq,Q,7,Elevated,40.747023,-73.945264,Flushing,Manhattan,"N"
COURT SQ-EMG,606,F09,IND,Queens Blvd,Court Sq-23 St,Q,E M,Subway,40.747846,-73.946,Forest Hills - Jamaica,Manhattan,"N"
CRESCENT ST-JZ,87,J20,BMT,Jamaica,Crescent St,Bk,J Z,Elevated,40.683194,-73.873785,Jamaica,Manhattan,"N"
CROWN HTS-UTICA-34,345,250,IRT,Eastern Pky,Crown Hts-Utica Av,Bk,3 4,Subway,40.668897,-73.932942,Manhattan,New Lots,"N"
CYPRESS AV-6,375,617,IRT,Pelham,Cypress Av,Bx,6,Subway,40.805368,-73.914042,Pelham Bay Park,Manhattan,"N"
CYPRESS HILLS-J,86,J19,BMT,Jamaica,Cypress Hills,Bk,J,Elevated,40.689941,-73.87255,Jamaica,Manhattan,"N"
DEKALB AV-BDNQR,26,R30,BMT,Broadway - Brighton,DeKalb Av,Bk,B Q R,Subway,40.690635,-73.981824,Manhattan,Coney Island - Bay Ridge,"N"
DEKALB AV-L,127,L16,BMT,Canarsie,DeKalb Av,Bk,L,Subway,40.703811,-73.918425,Manhattan,Canarsie - Rockaway Parkway,"N"
DELANCEY/ESSEX-FJMZ,625,M18,BMT,Jamaica,Delancey St-Essex St,M,J M Z,Subway,40.718315,-73.987437,Brooklyn,Broad St (JZ) - Uptown (M),"Y"
DITMAS AV-F,244,F29,IND,6th Av - Culver,Ditmas Av,Bk,F,Elevated,40.636119,-73.978172,Manhattan,Coney Island,"N"
DONGAN HILLS-1-SIR,507,S25,SIR,Staten Island,Dongan Hills,SI,SIR,Embankment,40.588849,-74.09609,St George,Tottenville,"N"
DYCKMAN ST-1,299,109,IRT,Broadway - 7Av,Dyckman St,M,1,Elevated,40.860531,-73.925536,Uptown & The Bronx,Downtown,"N"
DYCKMAN ST-A,144,A03,IND,8th Av - Fulton St,Dyckman St,M,A,Subway,40.865491,-73.927271,207 St,Downtown & Brooklyn,"N"
E 143/ST MARY'S-6,374,616,IRT,Pelham,E 143 St-St Mary's St,Bx,6,Subway,40.808719,-73.907657,Pelham Bay Park,Manhattan,"N"
E 149 ST-6,373,615,IRT,Pelham,E 149 St,Bx,6,Subway,40.812118,-73.904098,Pelham Bay Park,Manhattan,"N"
E 180 ST-25,426,213,IRT,Lenox - White Plains Rd,E 180 St,Bx,2 5,Elevated,40.841894,-73.873488,Wakefield - Eastchester,Manhattan,"N"
EAST 105 ST-L,137,L28,BMT,Canarsie,East 105 St,Bk,L,At Grade,40.650573,-73.899485,Manhattan,Canarsie - Rockaway Parkway,"N"
EAST BROADWAY-F,234,F16,IND,6th Av - Culver,East Broadway,M,F,Subway,40.713715,-73.990173,Uptown & Queens,Brooklyn,"Y"
EASTCHSTER/DYRE-5,442,501,IRT,Dyre Av,Eastchester-Dyre Av,Bx,5,At Grade,40.8883,-73.830834,,Manhattan,"N"
EASTN PKWY-MUSM-23,341,238,IRT,Eastern Pky,Eastern Pkwy-Brooklyn Museum,Bk,2 3,Subway,40.671987,-73.964375,Manhattan,Flatbush - New Lots,"N"
ELDER AV-6,369,611,IRT,Pelham,Elder Av,Bx,6,Elevated,40.828584,-73.879159,Pelham Bay Park,Manhattan,"N"
ELMHURST AV-MR,266,G13,IND,Queens Blvd,Elmhurst Av,Q,M R,Subway,40.742454,-73.882017,Forest Hills,Manhattan,"N"
ELTINGVILLE-1-SIR,514,S18,SIR,Staten Island,Eltingville,SI,SIR,Embankment,40.544601,-74.16457,St George,Tottenville,"N"
EUCLID AV-AC,188,A55,IND,8th Av - Fulton St,Euclid Av,Bk,A C,Subway,40.675377,-73.872106,Manhattan,Lefferts - Rockaways,"N"
EXCHANGE PLACE-1-PATH,902,,,,,J,,,,,,,"N"
FAR ROCKAWAY-A,209,H11,IND,Rockaway,Far Rockaway-Mott Av,Q,A,Viaduct,40.603995,-73.755405,Manhattan,,"N"
FLATBUSH AV-B.C-25,359,247,IRT,Nostrand,Flatbush Av-Brooklyn College,Bk,2 5,Subway,40.632836,-73.947642,Manhattan,,"N"
FLUSHING AV-G,287,G31,IND,Crosstown,Flushing Av,Bk,G,Subway,40.700377,-73.950234,Queens,Church Av,"N"
FLUSHING AV-JM,98,M12,BMT,Jamaica,Flushing Av,Bk,J M,Elevated,40.70026,-73.941126,Jamaica - Middle Village,Manhattan,"N"
FLUSHING-MAIN-7,447,701,IRT,Flushing,Flushing-Main St,Q,7,Subway,40.7596,-73.83003,,Manhattan,"N"
FORDHAM RD-4,382,407,IRT,Jerome Av,Fordham Rd,Bx,4,Elevated,40.862803,-73.901034,Woodlawn,Manhattan,"N"
FORDHAM RD-BD,213,D05,IND,Concourse,Fordham Rd,Bx,B D,Subway,40.861296,-73.897749,Bedford Pk Blvd & 205 St,Manhattan,"N"
FOREST AVE-M,110,M05,BMT,Myrtle Av,Forest Av,Q,M,Elevated,40.704423,-73.903077,Manhattan,Metropolitan Av,"N"
FOREST HILLS 71-EFMR,261,G08,IND,Queens Blvd,Forest Hills-71 Av,Q,E F M R,Subway,40.721691,-73.844521,Jamaica,Manhattan,"N"
FRANKLIN AV-2345S,626,239,IRT,Eastern Pky,Franklin Avenue-Medgar Evers College,Bk,2 3 4 5,Subway,40.670682,-73.958131,Manhattan,Flatbush - Utica - New Lots,"N"
FRANKLIN AV-ACS,627,A45,IND,8th Av - Fulton St,Franklin Av,Bk,C,Subway,40.68138,-73.956848,Manhattan,Euclid Av,"N"
FRANKLIN ST-1,326,136,IRT,Broadway - 7Av,Franklin St,M,1,Subway,40.719318,-74.006886,Uptown & The Bronx,Downtown,"Y"
FREEMAN ST-25,429,216,IRT,Lenox - White Plains Rd,Freeman St,Bx,2 5,Elevated,40.829993,-73.891865,Wakefield - Eastchester,Manhattan,"N"
FRESH POND RD-M,109,M04,BMT,Myrtle Av,Fresh Pond Rd,Q,M,Elevated,40.706186,-73.895877,Manhattan,Metropolitan Av,"N"
FT HAMILTON PKY-D,60,B13,BMT,West End,Fort Hamilton Pkwy,Bk,D,Elevated,40.640914,-73.994304,Manhattan,Coney Island,"N"
FT HAMILTON PKY-FG,242,F26,IND,6th Av - Culver,Fort Hamilton Pkwy,Bk,F G,Subway,40.650782,-73.975776,Manhattan - Queens,Church Av - Coney Island,"N"
FT HAMILTON PKY-N,72,N03,BMT,Sea Beach,Fort Hamilton Pkwy,Bk,N,Open Cut,40.631386,-74.005351,Manhattan,Coney Island,"N"
FULTON ST-2345ACJZ,628,A38,IND,8th Av - Fulton St,Fulton St,M,2 3 4 5 A C J Z,Subway,40.710197,-74.007691,Uptown,Brooklyn,"Y"
FULTON ST-G,292,G36,IND,Crosstown,Fulton St,Bk,G,Subway,40.687119,-73.975375,Queens,Church Av,"N"
GATES AV-JZ,95,J30,BMT,Jamaica,Gates Av,Bk,J Z,Elevated,40.68963,-73.92227,Jamaica,Manhattan,"N"
GRAHAM AV-L,122,L11,BMT,Canarsie,Graham Av,Bk,L,Subway,40.714565,-73.944053,Manhattan,Canarsie - Rockaway Parkway,"N"
GRAND ARMY PLAZ-23,340,237,IRT,Eastern Pky,Grand Army Plaza,Bk,2 3,Subway,40.675235,-73.971046,Manhattan,Flatbush - New Lots,"N"
GRAND ST-BD,231,D22,IND,6th Av - Culver,Grand St,M,B D,Subway,40.718267,-73.993753,Uptown & The Bronx,Brooklyn,"Y"
GRAND ST-L,123,L12,BMT,Canarsie,Grand St,Bk,L,Subway,40.711926,-73.94067,Manhattan,Canarsie - Rockaway Parkway,"N"
GRAND-NEWTOWN-MR,265,G12,IND,Queens Blvd,Grand Av-Newtown,Q,M R,Subway,40.737015,-73.877223,Forest Hills,Manhattan,"N"
GRANT AV-A,189,A57,IND,Liberty Av,Grant Av,Bk,A,Subway,40.677044,-73.86505,Manhattan,Lefferts - Rockaways,"N"
GRANT CITY-1-SIR,509,S23,SIR,Staten Island,Grant City,SI,SIR,Open Cut,40.578965,-74.109704,St George,Tottenville,"N"
